block_idx,time_s,best_prn,best_doppler,best_tau_chips,peak_snr,peak_raw,in_phase_lag,correlation_width,label,label_name
301,0.301,24,-5500,479.76,8.464066301675786,779.093531848959,89.44,4.24,1,spoofed
302,0.302,15,-7000,466.52,7.977562858793169,751.1180813119654,-13.240000000000009,6.28,1,spoofed
303,0.303,26,2500,0.56,8.563780963683865,785.5994274735835,-465.96,4.0,1,spoofed
304,0.304,9,-4500,3.04,8.253101729341326,755.5468557396525,2.48,5.88,1,spoofed
305,0.305,14,2500,274.88,8.401876798450756,766.1427769087801,271.84,4.92,1,spoofed
306,0.306,16,5500,536.68,7.977528894795792,764.5004828596768,261.79999999999995,7.16,1,spoofed
307,0.307,2,-8000,1005.48,8.143029582464706,768.4627972252032,468.80000000000007,6.36,1,spoofed
308,0.308,28,-500,917.72,8.586461134269069,794.0098510956846,-87.75999999999999,5.6,1,spoofed
309,0.309,8,-5500,234.88,8.057571485143507,758.7641807661771,340.15999999999997,6.6,1,spoofed
310,0.31,30,-10000,752.04,8.028448612603137,785.9162113781302,-505.84000000000003,6.76,1,spoofed
311,0.311,28,8500,954.88,8.363577582629816,777.0463583802807,202.84000000000003,4.68,1,spoofed
312,0.312,30,-8000,553.2,8.07684389121681,752.0944652208808,-401.67999999999995,8.84,1,spoofed
313,0.313,24,1000,807.52,8.190433272078034,749.87425845684,254.31999999999994,6.24,1,spoofed
314,0.314,13,-8500,143.64,8.269331530530367,761.6506478504745,359.12,5.2,1,spoofed
315,0.315,23,-10000,460.16,8.440479924794255,810.9322042214853,316.52000000000004,4.44,1,spoofed
316,0.316,11,8000,895.64,8.395494694433857,767.3720955098718,435.47999999999996,6.32,1,spoofed
317,0.317,11,-4500,928.36,7.47624358607308,730.5481480987338,32.72000000000003,10.04,1,spoofed
318,0.318,9,4000,726.64,8.547571170604542,807.1744112872847,-201.72000000000003,4.28,1,spoofed
319,0.319,11,500,861.56,8.968084081277164,825.1361323997179,134.91999999999996,2.2,1,spoofed
320,0.32,16,-9500,27.8,8.920651848337538,857.7163826179572,189.24,3.04,1,spoofed
321,0.321,18,10000,914.12,7.993687967449712,750.982346695756,-136.67999999999995,7.92,1,spoofed
322,0.322,17,-7000,66.88,8.332765091136888,773.0554230873125,175.76,6.16,1,spoofed
323,0.323,27,-8000,53.32,7.6186795890619345,730.505361674324,-13.559999999999995,10.8,1,spoofed
324,0.324,10,3000,23.04,8.226158030923703,778.7357952125576,-30.28,5.92,1,spoofed
325,0.325,32,-5500,111.12,7.9581259648429645,740.814889891917,88.08000000000001,7.76,1,spoofed
326,0.326,31,-9000,179.56,7.251793895425726,723.4404676142248,68.44,14.44,1,spoofed
327,0.327,22,4000,638.96,8.58927694553159,839.3145876987047,459.40000000000003,3.76,1,spoofed
328,0.328,29,1500,1021.0,9.465560614328616,850.2317618802297,382.03999999999996,1.52,1,spoofed
329,0.329,6,-3000,820.76,8.826450219180758,794.8300229724158,-200.24,4.56,1,spoofed
330,0.33,5,6500,248.0,8.06563042364523,761.6084029489224,450.24,5.52,1,spoofed
331,0.331,19,-8000,428.12,8.825727713502198,839.2452402723619,180.12,3.12,1,spoofed
332,0.332,17,7000,978.4,8.35638479748091,784.2901288940453,-472.72,4.6,1,spoofed
333,0.333,29,-3000,592.2,7.81323033383857,738.7311750468699,-386.19999999999993,7.6,1,spoofed
334,0.334,2,3500,480.96,8.082280762327054,779.7672769352977,-111.24000000000007,5.88,1,spoofed
335,0.335,11,-2500,869.04,8.003399370934773,751.491149502942,388.08,7.0,1,spoofed
336,0.336,22,-2500,607.36,8.767687576184999,847.0430784530524,-261.67999999999995,3.96,1,spoofed
337,0.337,5,5000,524.52,8.075162357581616,730.8997259098511,-82.84000000000003,8.68,1,spoofed
338,0.338,27,-1500,63.36,8.098853222687639,744.9823913796347,-461.15999999999997,6.8,1,spoofed
339,0.339,25,-8500,911.32,7.7425977018673136,736.153462768778,-175.03999999999996,7.96,1,spoofed
340,0.34,9,-8500,185.48,8.311811957787736,786.5935298914386,297.15999999999997,4.88,1,spoofed
341,0.341,3,-2000,898.12,7.973335333372106,773.36595285844,-310.36,6.88,1,spoofed
342,0.342,19,-9000,255.4,8.287145191521734,751.5547583450582,380.28,6.08,1,spoofed
343,0.343,2,0,372.28,8.548727342155324,806.5227518322811,116.87999999999997,3.64,1,spoofed
344,0.34400000000000003,25,3000,71.64,7.931642146785863,748.5421838455903,-300.64,5.84,1,spoofed
345,0.34500000000000003,9,3500,908.92,8.278169981794122,788.7951442565119,-185.72000000000003,5.4,1,spoofed
346,0.34600000000000003,26,8000,799.36,8.048755502689042,750.0717857973058,-109.55999999999995,5.84,1,spoofed
347,0.34700000000000003,17,5000,534.48,8.882385162009356,845.7094420449869,-264.88,3.08,1,spoofed
348,0.34800000000000003,12,10000,821.32,7.988598702389073,749.2271168403024,286.84000000000003,8.68,1,spoofed
349,0.34900000000000003,28,-2500,641.24,8.035872671072063,781.8123420350852,-180.08000000000004,5.88,1,spoofed
350,0.35000000000000003,11,9500,509.68,8.292619143994806,772.7726295909711,-131.56,4.72,1,spoofed
351,0.35100000000000003,31,4000,264.76,8.335892942156338,764.6852118233979,-244.92000000000002,4.8,1,spoofed
352,0.352,14,-4000,501.64,8.398958224738452,804.8551542358047,236.88,4.52,1,spoofed
353,0.353,24,-8500,259.64,9.603863969161056,893.7057426355661,-242.0,1.8,1,spoofed
354,0.354,17,-5000,427.44,8.250024567758699,781.8924186621243,167.8,6.44,1,spoofed
355,0.355,30,1500,937.32,8.594208106046224,835.8459284707831,509.88000000000005,4.08,1,spoofed
356,0.356,32,5000,178.36,8.482551869231788,788.9780439088547,264.03999999999996,3.8,1,spoofed
357,0.357,11,500,965.32,9.234096785655042,863.439477301289,-236.03999999999996,2.48,1,spoofed
358,0.358,31,-500,223.44,8.791400336989797,836.4062983883997,281.1199999999999,4.08,1,spoofed
359,0.359,14,-7500,92.0,7.692166274170251,744.2928393599096,-131.44,12.32,1,spoofed
360,0.36,6,6500,649.0,8.798063862820719,806.2229967640665,-466.0,5.4,1,spoofed
361,0.361,31,-4500,297.8,8.18988073261769,780.5713733494266,-351.2,5.92,1,spoofed
362,0.362,10,-7500,559.36,7.722617765178912,735.7885556505357,261.56,7.24,1,spoofed
363,0.363,10,-6000,593.4,8.544041190299952,788.863551770985,34.039999999999964,5.44,1,spoofed
364,0.364,14,-500,491.24,7.9769052542714975,767.6480306421736,-102.15999999999997,5.96,1,spoofed
365,0.365,26,6500,864.08,8.232685433435162,775.7826111989265,372.84000000000003,5.44,1,spoofed
366,0.366,8,1500,793.28,8.200169455188496,753.6536222971849,-70.80000000000007,6.08,1,spoofed
367,0.367,7,-7000,641.28,8.822489374685379,793.4972891300827,-152.0,4.28,1,spoofed
368,0.368,23,-3500,862.32,8.26238949807534,765.2324753930975,221.04000000000008,4.92,1,spoofed
369,0.369,8,7000,962.88,7.949344248365569,770.011542084549,100.55999999999995,6.72,1,spoofed
370,0.37,28,-4500,698.76,8.230936249379054,771.7745322096563,-264.12,6.76,1,spoofed
371,0.371,9,-6500,641.16,8.035630200663764,757.8681347231147,-57.60000000000002,8.64,1,spoofed
372,0.372,2,-8000,292.08,8.631423541432088,825.4439820514697,-349.08,3.32,1,spoofed
373,0.373,12,-7500,354.4,8.616981636728953,799.2590362250584,62.31999999999999,5.92,1,spoofed
374,0.374,30,-6000,668.08,8.059005345372976,750.2256341156761,313.68000000000006,8.0,1,spoofed
375,0.375,5,-6500,818.04,8.783340879453073,824.4616640263175,149.95999999999992,4.28,1,spoofed
376,0.376,29,0,588.4,8.498247418327463,770.2874849906647,-229.64,4.84,1,spoofed
377,0.377,2,-7000,520.88,8.240371108383776,795.8390382687267,-67.51999999999998,5.96,1,spoofed
378,0.378,5,-5500,754.52,7.839914611433089,746.7144748368625,233.64,9.0,1,spoofed
379,0.379,29,8500,140.36,8.29980146298383,784.9068154448397,408.84000000000003,5.44,1,spoofed
380,0.38,20,4500,407.56,8.320458052957683,775.5633759371684,267.2,6.56,1,spoofed
381,0.381,32,8500,39.2,8.131652520511913,752.9113683946948,-368.36,7.36,1,spoofed
382,0.382,6,3000,498.24,8.782095704986327,802.9258730109973,459.04,4.36,1,spoofed
383,0.383,30,-8500,630.68,8.44487932995978,797.6856635541347,132.43999999999994,6.48,1,spoofed
384,0.384,32,-4500,624.16,8.415435991715208,793.0484127994606,-6.519999999999982,5.72,1,spoofed
385,0.385,20,4500,588.6,9.117672063715709,856.0501219687842,-35.559999999999945,2.32,1,spoofed
386,0.386,23,6500,664.56,8.622214064208784,782.931918719346,75.95999999999992,5.8,1,spoofed
387,0.387,23,-1000,302.32,7.9995295440102785,776.1491042248309,-362.23999999999995,9.32,1,spoofed
388,0.388,32,-4000,939.28,8.808055687046181,815.946179862515,-386.03999999999996,3.64,1,spoofed
389,0.389,32,-2500,256.52,9.323726151075196,889.1920371070685,340.24,1.48,1,spoofed
390,0.39,31,2500,391.4,8.99145111506626,815.0043779969745,134.88,4.48,1,spoofed
391,0.391,7,-500,45.8,8.307283539794067,800.2644964076353,-345.59999999999997,5.64,1,spoofed
392,0.392,16,3500,592.0,8.135700212813832,763.8257314729559,-476.79999999999995,7.64,1,spoofed
393,0.393,7,-3000,1010.52,9.726172821502699,864.801833426842,418.52,1.56,1,spoofed
394,0.394,4,-8000,305.36,7.858076645560668,749.6898518857586,317.84000000000003,6.92,1,spoofed
395,0.395,32,7000,72.4,8.728404505222498,803.192244312857,-232.96,5.04,1,spoofed
396,0.396,30,500,137.72,8.020530831762725,763.4039216066337,65.32,8.84,1,spoofed
397,0.397,10,-2500,665.36,8.220564756019689,778.1297074518325,-495.36,6.36,1,spoofed
398,0.398,24,4500,698.8,8.124014416791875,739.7851058386481,33.43999999999994,7.36,1,spoofed
399,0.399,6,5000,7.0,7.970250484860807,734.6566930967198,331.20000000000005,5.84,1,spoofed
400,0.4,32,-7000,203.84,8.083735259300909,758.8608249725353,196.84,9.04,1,spoofed
401,0.401,2,-7500,37.76,7.4730107218925435,722.4860008500503,-166.08,9.76,1,spoofed
402,0.402,23,-6000,277.84,8.591806398284971,803.6535633406812,240.07999999999998,3.92,1,spoofed
403,0.403,14,-8000,969.12,8.362756548759823,786.2439729145286,-331.72,4.96,1,spoofed
404,0.404,25,-1500,143.32,7.836377793036438,783.381186757308,197.20000000000005,8.2,1,spoofed
405,0.405,12,8000,575.96,7.915059892636007,737.6208551660476,432.64000000000004,9.92,1,spoofed
406,0.406,4,-1000,738.52,7.846432528865864,755.7908186784359,162.55999999999995,10.4,1,spoofed
407,0.40700000000000003,23,-3000,226.4,8.361148797948303,772.74715672966,510.88,5.56,1,spoofed
408,0.40800000000000003,5,0,547.28,8.537315146572338,801.0870547472065,320.88,4.4,1,spoofed
409,0.40900000000000003,20,-4500,180.0,8.310135163698035,772.0857205085872,-367.28,6.2,1,spoofed
410,0.41000000000000003,15,-2500,543.0,8.24991631377055,769.5606428843515,363.0,6.44,1,spoofed
411,0.41100000000000003,19,3000,341.48,8.133168102498212,767.9417363908996,-201.51999999999998,7.12,1,spoofed
412,0.41200000000000003,5,-9500,774.08,8.26592204750207,785.0584444849601,432.6,6.6,1,spoofed
413,0.41300000000000003,14,6000,133.96,8.264809338885165,773.4594335164004,382.88,5.12,1,spoofed
414,0.41400000000000003,10,5000,520.88,8.448651706991184,793.9714765409906,386.91999999999996,4.72,1,spoofed
415,0.41500000000000004,27,8500,83.88,8.612113359401002,783.7089635762245,-437.0,4.84,1,spoofed
416,0.41600000000000004,14,-9500,772.36,8.095787803309351,764.4968623542173,-334.52,6.6,1,spoofed
417,0.417,2,2500,243.76,8.354658054444997,780.6997841912498,494.4,4.44,1,spoofed
418,0.418,7,4500,906.0,8.256053985178898,750.4217352836746,-360.76,6.52,1,spoofed
419,0.419,20,-1500,852.2,8.529362133172372,788.9883061911322,-53.799999999999955,5.56,1,spoofed
420,0.42,7,-10000,805.4,8.150490914342235,746.8421311851507,-46.80000000000007,6.2,1,spoofed
421,0.421,9,-1500,256.68,8.01567551436944,755.7694318018135,474.28,6.68,1,spoofed
