block_idx,time_s,best_prn,best_doppler,best_tau_chips,peak_snr,peak_raw,in_phase_lag,correlation_width,label,label_name
222,0.222,25,-5500,881.2,8.123887293352173,772.7822430226769,226.96000000000004,8.56,0,authentic
223,0.223,6,-9000,39.96,8.4295400189427,808.1570531903752,181.76,4.92,0,authentic
224,0.224,18,-3500,223.96,8.072470289184945,768.9324477912569,184.0,8.96,0,authentic
225,0.225,1,-5500,266.68,9.033343922055643,845.7284264488404,42.72,3.08,0,authentic
226,0.226,25,-1000,328.08,7.802824666951548,784.6402005433682,61.39999999999998,9.36,0,authentic
227,0.227,1,7000,921.56,7.9099032092587445,770.9178516138162,-429.52,6.56,0,authentic
228,0.228,27,-3000,824.96,8.29319885353426,806.7539452263078,-96.59999999999991,4.8,0,authentic
229,0.229,13,7500,630.92,8.522843509051937,817.1949013879281,-194.04000000000008,4.84,0,authentic
230,0.23,19,4500,768.2,8.214100113616633,818.9866186074695,137.2800000000001,4.52,0,authentic
231,0.231,11,6000,854.64,8.130938300143875,811.7833491708246,86.43999999999994,5.24,0,authentic
232,0.232,25,-10000,568.56,7.70183226605173,801.5701879001319,-286.08000000000004,10.48,0,authentic
233,0.233,19,4500,980.28,8.348606496146509,811.2587128769876,411.72,6.28,0,authentic
234,0.234,30,-3500,141.08,8.14276254622844,789.7678081398951,183.80000000000007,7.04,0,authentic
235,0.23500000000000001,31,-8000,684.64,8.001624373757574,779.0230073088667,-479.44000000000005,7.92,0,authentic
236,0.23600000000000002,32,-7500,173.2,8.016802752361532,797.0938728038477,-511.44,9.36,0,authentic
237,0.23700000000000002,4,-5000,268.92,8.424502566674159,885.0718581145113,95.72000000000003,4.76,0,authentic
238,0.23800000000000002,30,-7500,810.48,8.61230036508037,855.2642793173916,-481.44000000000005,4.36,0,authentic
239,0.23900000000000002,6,-8500,31.4,8.787363629847226,877.8837692002196,243.91999999999996,2.44,0,authentic
240,0.24,28,-6500,218.88,7.852408283964439,818.8051494973687,187.48,8.28,0,authentic
241,0.241,26,1000,953.96,8.376460302429921,838.9197366784495,-287.91999999999996,5.8,0,authentic
242,0.242,22,8000,482.16,8.53780821952946,910.9361433980667,-471.8,3.52,0,authentic
243,0.243,30,9500,408.0,8.475525309364999,876.4546391305167,-74.16000000000003,4.32,0,authentic
244,0.244,11,-500,704.36,9.109067787545902,920.9895799724011,296.36,3.6,0,authentic
245,0.245,14,-6000,951.92,7.860665416129594,778.2400598960841,247.55999999999995,9.68,0,authentic
246,0.246,20,500,298.64,8.668917335636767,869.0168463519357,369.72,4.96,0,authentic
247,0.247,8,3500,736.12,8.393881273385592,874.6480755042448,437.48,6.24,0,authentic
248,0.248,15,-2000,521.8,8.792674543333183,870.51374235751,-214.32000000000005,4.48,0,authentic
249,0.249,16,-6000,673.44,8.24595878109944,836.4176937946669,151.6400000000001,4.92,0,authentic
250,0.25,4,-5500,897.72,9.002781462982394,930.7674874694193,224.27999999999997,4.32,0,authentic
251,0.251,1,500,1021.0,8.309172351710032,861.9511760884086,123.27999999999997,6.08,0,authentic
252,0.252,15,3500,180.76,8.380998328980949,839.97428065153,182.76,8.04,0,authentic
253,0.253,30,4000,473.04,8.687374028361022,864.4793889406038,292.28000000000003,4.4,0,authentic
254,0.254,18,-9000,452.92,8.339610559488776,864.0746798893092,-20.120000000000005,5.84,0,authentic
255,0.255,28,5000,883.84,7.725576076197359,786.6670520754855,430.92,9.04,0,authentic
256,0.256,26,-7500,416.16,7.765592529436702,810.6615094414078,-467.68,7.0,0,authentic
257,0.257,23,500,273.96,7.983400528843294,813.2276660469495,-142.20000000000005,8.76,0,authentic
258,0.258,14,0,501.76,8.290659911738512,822.9924213320097,227.8,5.84,0,authentic
259,0.259,14,-1000,840.64,8.224770727519338,847.4259214188626,338.88,5.76,0,authentic
260,0.26,27,-9500,879.36,8.65508972350712,896.2734858906663,38.72000000000003,4.16,0,authentic
261,0.261,15,7500,591.04,8.532358719895024,865.6246185934966,-288.32000000000005,4.48,0,authentic
262,0.262,16,-6500,818.56,7.9942698855146865,811.636023321433,227.51999999999998,7.36,0,authentic
263,0.263,5,500,341.16,8.594721833381124,884.670353283943,-477.3999999999999,4.68,0,authentic
264,0.264,8,2500,528.2,8.077085684349173,827.7034683215193,187.04000000000002,6.96,0,authentic
265,0.265,19,-2500,946.2,7.7602596769376415,805.8821387598676,418.0,8.64,0,authentic
266,0.266,14,7000,12.6,8.713600359228133,893.9781331528571,89.39999999999998,5.12,0,authentic
267,0.267,3,8500,374.8,8.527812010696502,841.458148891067,362.2,5.8,0,authentic
268,0.268,22,-5500,138.44,7.86054681352697,822.477522120446,-236.36,7.92,0,authentic
269,0.269,11,-4500,352.6,7.898514732293142,818.0489312458816,214.16000000000003,7.52,0,authentic
270,0.27,23,-2000,154.24,8.386512303780256,859.5142871328485,-198.36,6.12,0,authentic
271,0.271,20,-2500,549.64,8.251303674046966,848.9250264670164,395.4,6.76,0,authentic
272,0.272,30,-4500,565.64,8.964365451179836,887.6569313481587,16.0,3.16,0,authentic
273,0.273,11,4500,786.32,8.332813692792135,834.7320643638584,220.68000000000006,8.24,0,authentic
274,0.274,22,-2500,921.36,7.62971765305884,825.5964817340756,135.03999999999996,10.32,0,authentic
275,0.275,31,-2000,398.52,8.520508322613262,867.5264568399015,500.15999999999997,4.88,0,authentic
276,0.276,14,-6000,354.88,8.018396912387203,845.9370537685247,-43.639999999999986,6.64,0,authentic
277,0.277,5,-8500,1017.44,7.968767979104925,837.5281957180406,-360.43999999999994,8.84,0,authentic
278,0.278,13,-5500,991.96,8.078795823818954,827.8937929829398,-25.480000000000018,4.72,0,authentic
279,0.279,14,-3000,1004.24,8.287563953185817,817.0247589829378,12.279999999999973,5.52,0,authentic
280,0.28,30,5500,16.92,8.328165979940634,841.1641300702523,35.67999999999995,5.4,0,authentic
281,0.281,26,5000,856.08,7.952689158102602,799.2247265785717,-183.83999999999992,5.8,0,authentic
282,0.28200000000000003,8,1000,955.88,7.964116389496018,831.1271397339879,99.79999999999995,7.44,0,authentic
283,0.28300000000000003,14,0,930.04,8.190494345722897,866.4452212763135,-25.840000000000032,5.64,0,authentic
284,0.28400000000000003,29,-5500,937.88,8.339970874881304,827.2982508946487,7.840000000000032,5.28,0,authentic
285,0.28500000000000003,31,6000,682.72,7.667082958060584,813.9975962162723,-255.15999999999997,7.88,0,authentic
286,0.28600000000000003,26,5500,128.52,8.301498516568431,828.9703029559324,468.79999999999995,4.88,0,authentic
287,0.28700000000000003,1,-9500,954.36,7.840289609305174,818.3741802236875,-197.15999999999997,8.68,0,authentic
288,0.28800000000000003,1,-3000,31.4,7.878740606302671,805.8348667947521,100.03999999999996,9.64,0,authentic
289,0.289,24,-2000,493.84,8.177758882077498,837.4739032971976,462.44,6.24,0,authentic
290,0.29,18,-5000,504.84,8.403756696866518,852.1282445607193,11.0,3.76,0,authentic
291,0.291,28,-5000,569.68,8.253181283658966,851.4012404084245,64.83999999999997,6.4,0,authentic
292,0.292,22,7000,540.04,7.744918419673637,806.4516363980576,-29.639999999999986,8.68,0,authentic
293,0.293,1,500,331.12,8.303275933887152,840.4545728257689,-208.91999999999996,5.44,0,authentic
294,0.294,27,-4500,363.76,7.787857633516613,810.6860229185684,32.639999999999986,8.32,0,authentic
295,0.295,11,1000,577.56,8.134407532325966,844.6390844946523,213.79999999999995,6.32,0,authentic
296,0.296,17,-4500,294.36,7.944435731665089,821.1089407454086,-283.19999999999993,7.92,0,authentic
297,0.297,27,-9500,1019.08,8.351811563635076,870.6710000991391,-298.28,3.6,0,authentic
298,0.298,5,2500,291.8,8.196977402404103,818.4927276500174,295.72,6.24,0,authentic
299,0.299,28,5000,790.8,8.071715217111137,831.9205467308043,498.99999999999994,7.28,0,authentic
300,0.3,28,-1000,588.12,7.5841210043035305,779.823942343629,-202.67999999999995,9.36,0,authentic
301,0.301,26,-1500,932.76,8.258935011158057,914.3027805770122,344.64,6.6,0,authentic
302,0.302,2,9500,681.64,8.806581899148192,925.2987269904373,-251.12,3.44,0,authentic
303,0.303,4,-3000,304.88,8.662149328287414,850.2138022604521,-376.76,5.2,0,authentic
304,0.304,29,-1000,197.52,8.463926635063384,814.8626990039783,-107.35999999999999,2.36,0,authentic
305,0.305,12,2500,85.92,8.155047622393825,772.698582184651,-111.60000000000001,4.72,0,authentic
306,0.306,9,7000,910.64,8.672558344958361,795.067134455129,-198.27999999999997,5.24,0,authentic
307,0.307,18,-7000,770.28,8.370531055702434,813.7783922078562,-140.36,6.44,0,authentic
308,0.308,13,-4500,808.8,8.239262611808964,779.2736411012282,38.51999999999998,6.64,0,authentic
309,0.309,22,-2000,753.56,7.7127105504995725,796.9912206547813,-55.24000000000001,10.84,0,authentic
310,0.31,30,8000,513.2,8.223549834807443,780.3310541518636,-240.3599999999999,6.28,0,authentic
311,0.311,29,10000,1017.2,7.866340613448518,746.7626062658736,504.0,8.28,0,authentic
312,0.312,19,-10000,359.12,8.386680142096099,797.0250677900965,364.91999999999996,4.48,0,authentic
313,0.313,32,9500,890.52,8.126098520647849,778.2326677322527,-491.6,7.76,0,authentic
314,0.314,6,-3000,418.04,7.914451080846682,777.4472828710738,-472.47999999999996,7.12,0,authentic
315,0.315,29,-9500,22.2,8.764239891527737,879.0662213706554,-395.84000000000003,3.16,0,authentic
316,0.316,29,-4500,958.0,9.027252450012512,889.7302196093699,-87.20000000000005,2.92,0,authentic
317,0.317,19,-2000,592.24,8.07755599045811,768.0968776778196,-365.76,7.92,0,authentic
318,0.318,13,8000,996.6,7.942876895985188,772.3254383340086,404.36,7.64,0,authentic
319,0.319,26,9000,205.96,7.9182076867450695,740.4992663405236,232.36,10.6,0,authentic
320,0.32,24,-8000,383.04,8.498047864162395,826.5061937826538,177.08,6.0,0,authentic
321,0.321,25,9000,628.84,8.986579579234176,915.1038311975475,245.8,2.84,0,authentic
322,0.322,12,-7000,463.56,8.223723010959604,820.3379461688675,-165.28000000000003,7.4,0,authentic
323,0.323,7,-1000,363.92,7.9108270377435455,800.1327705258003,-99.63999999999999,6.08,0,authentic
324,0.324,8,-5500,516.72,8.431289460640057,882.4158271672906,152.8,4.2,0,authentic
325,0.325,15,-2500,920.16,8.174638079132814,844.3470621855693,403.43999999999994,7.52,0,authentic
326,0.326,13,6000,779.28,7.855484594259061,786.7796568398334,-140.88,8.04,0,authentic
327,0.327,6,4000,349.0,7.9828845235097745,819.3496264653807,-430.28,6.84,0,authentic
328,0.328,17,2000,802.76,8.35683615166367,872.6475878764237,453.76,4.88,0,authentic
329,0.329,8,-3500,997.24,8.153596769655575,831.2184213007552,194.48000000000002,7.84,0,authentic
330,0.33,7,-2000,187.16,7.9247332728290205,817.8930207082501,212.91999999999996,7.16,0,authentic
331,0.331,11,-8000,655.16,8.76712793043093,902.2906696304661,468.0,3.32,0,authentic
332,0.332,31,-1500,278.52,8.583417183229297,887.4546566560757,-376.64,5.72,0,authentic
333,0.333,9,-5500,957.32,8.100868569412313,825.2525440424981,-344.19999999999993,10.36,0,authentic
334,0.334,11,-2000,824.24,8.262912824892677,843.2885793804078,-133.08000000000004,6.56,0,authentic
335,0.335,14,-8000,497.32,7.89194390635459,816.3604811054896,-326.92,8.2,0,authentic
336,0.336,17,-1000,793.48,8.28535441781246,826.0155413816049,296.16,7.04,0,authentic
